brand, product_name, sale_price, original_price
APPLE, Apple MacBook Air 13-inch with M1 chip| 8-core GPU| 512GB SSD (Space Grey) [2020], $1649, $1849
APPLE, Apple MacBook Pro 13-inch with M1 chip| 256GB SSD (Space Grey) [2020], $1699, $1899
APPLE, Apple iPad Air 64GB Wi-Fi (Sky Blue) [4th Gen], NOT ON SALE, $799
ASUS, Asus VivoBook 15.6" FHD Thin & Light Laptop (256GB) [Intel i5], $699, $1099
SONY, Sony A80J 55" Bravia XR OLED 4K Google TV [2021], $1995, $2495
SAMSUNG, Samsung Q60B 75" QLED 4K Smart TV [2022], $1995, $2495
SAMSUNG, Samsung Galaxy S22 Ultra 5G 128GB (Phantom Black), $1599, $1849
SAMSUNG, Samsung Galaxy A33 5G 128GB (Black), $499, $599
EUFY, Eufy RoboVac LR30 Hybrid, $649, $1299
SENNHEISER, Sennheiser HD 450BT Wireless Noise Cancelling Headphones (Black), $169, $299
SAMSUNG, Samsung Galaxy Watch4 Classic 46mm (Black), NOT ON SALE, $446
FITBIT, Fitbit Versa 3 (Black/Black Aluminium), $199, $399
SEGWAY, Segway Ninebot KickScooter F30, $799, $999
TEFAL, Tefal EY701D Easy Fry Deluxe XXL Air Fryer, $199, $399
EUFY, Eufy HomeVac S11 Lite Stick Vac (Red), $199, $399
BREVILLE, Breville the Barista Express Manual Coffee Machine (Liquorice), $599, $749
